,heading,href,date
0,Fantasy Premier League Gameweek 21: Her er de heteste dobbeltrunde-spillerne,https://vg.no/sport/fotball/i/RrlVLd/fantasy-premier-league-gameweek-21-her-er-de-heteste-dobbeltrunde-spillerne,2022-01-01
1,Ekspertenes dom over Eliteserien 2021,https://vg.no/sport/fotball/i/28XymR/ekspertenes-dom-over-eliteserien-2021,2022-01-01
2,Haaland-ryktene intensiveres: − Bare Erling som bestemmer,https://vg.no/sport/fotball/i/pW4k3R/haaland-ryktene-intensiveres-bare-erling-som-bestemmer,2022-01-01
3,Tuchel slår tilbake etter Lukaku-utspill: − Liker det ikke ,https://vg.no/sport/fotball/i/1OXLOe/tuchel-slaar-tilbake-etter-lukaku-utspill-liker-det-ikke,2022-01-01
4,Manchester United slo tilbake – ubeseiret etter Solskjær-sparkingen,https://vg.no/sport/fotball/i/pW4yOo/manchester-united-slo-tilbake-ubeseiret-etter-solskjaer-sparkingen,2022-01-01
5,Lukaku kritiserer Tuchel-taktikk: − Jeg er ikke fornøyd med situasjonen,https://vg.no/sport/fotball/i/Qy3e88/lukaku-kritiserer-tuchel-taktikk-jeg-er-ikke-fornoeyd-med-situasjonen,2022-01-01
6,Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01
7,Iversen tror han reiser hjem etter fiasko: − Tragisk,https://vg.no/sport/fotball/i/EaLP4o/iversen-tror-han-reiser-hjem-etter-fiasko-tragisk,2022-01-01
8,Tuchel vil gjeninnføre fem bytter: − Det gir absolutt ingen mening,https://vg.no/sport/fotball/i/V9eJ9V/tuchel-vil-gjeninnfoere-fem-bytter-det-gir-absolutt-ingen-mening,2022-01-01
9,Thomas Lehne Olsen forlater Lillestrøm – klar for Dubai,https://vg.no/sport/fotball/i/japE40/thomas-lehne-olsen-forlater-lillestroem-klar-for-dubai,2022-01-01
10,Fjørtoft var lagkamerat med Hugo Maradona: − Veldig trist at han er død,https://vg.no/sport/fotball/i/qW7g8g/fjoertoft-var-lagkamerat-med-hugo-maradona-veldig-trist-at-han-er-doed,2022-01-01
11,Neville kritiserer United-stjernenes kroppsspråk: − Irritert meg i to måneder,https://vg.no/sport/fotball/i/XqeQEn/neville-kritiserer-united-stjernenes-kroppsspraak-irritert-meg-i-to-maaneder,2022-01-01
12,Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01
13,Buffon om Ronaldo-effekten: − Mistet samholdet,https://vg.no/sport/fotball/i/k6yzbX/buffon-om-ronaldo-effekten-mistet-samholdet,2022-01-01
14,Suverene City vant igjen – slo Leicester i ellevill målfest,https://vg.no/sport/fotball/i/z7Qy71/suverene-city-vant-igjen-slo-leicester-i-ellevill-maalfest,2022-01-01
15,Slik går det med lagene som leder 2. juledag: Halvparten tar ligagull,https://vg.no/sport/fotball/i/47Xg0E/slik-gaar-det-med-lagene-som-leder-2-juledag-halvparten-tar-ligagull,2022-01-01
16,"Den elleville Boxing Day, anno 1963",https://vg.no/sport/fotball/i/5GORP6/den-elleville-boxing-day-anno-1963,2022-01-01
17,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-01-01
18,Dette er mannen som vil kjøpe Manchester United,https://vg.no/sport/fotball/i/zE4J91/sir-jim-ratcliffe-dette-er-mannen-som-vil-kjoepe-manchester-united?utm_content=evergreens-widget-2&utm_source=fotball,2022-01-01
19,Skrev seg til proffkarriere – nå er Dan Eggen filosof,https://vg.no/sport/fotball/i/pQnpWj/skrev-seg-til-proffkarriere-naa-er-dan-eggen-filosof?utm_content=evergreens-widget-3&utm_source=fotball,2022-01-01
20,Tottenham vant etter overtidsscoring – ubeseiret i ligaen under Antonio Conte,https://vg.no/sport/fotball/i/RrlLxJ/tottenham-vant-etter-overtidsscoring-ubeseiret-i-ligaen-under-antonio-conte,2022-01-02
21,"VAR-straffe, rødt kort og overtidsmål da City slo Arsenal",https://vg.no/sport/fotball/i/k6yk7L/var-straffe-roedt-kort-og-overtidsmaal-da-city-slo-arsenal,2022-01-02
22,Lukaku: Sa nei til Manchester City,https://vg.no/sport/fotball/i/z7QqJ9/lukaku-sa-nei-til-manchester-city,2022-01-02
23,Fantasy Premier League Gameweek 21: Her er de heteste dobbeltrunde-spillerne,https://vg.no/sport/fotball/i/RrlVLd/fantasy-premier-league-gameweek-21-her-er-de-heteste-dobbeltrunde-spillerne,2022-01-02
24,Ekspertenes dom over Eliteserien 2021,https://vg.no/sport/fotball/i/28XymR/ekspertenes-dom-over-eliteserien-2021,2022-01-02
25,Haaland-ryktene intensiveres: − Bare Erling som bestemmer,https://vg.no/sport/fotball/i/pW4k3R/haaland-ryktene-intensiveres-bare-erling-som-bestemmer,2022-01-02
26,Tuchel slår tilbake etter Lukaku-utspill: − Liker det ikke ,https://vg.no/sport/fotball/i/1OXLOe/tuchel-slaar-tilbake-etter-lukaku-utspill-liker-det-ikke,2022-01-02
27,Manchester United slo tilbake – ubeseiret etter Solskjær-sparkingen,https://vg.no/sport/fotball/i/pW4yOo/manchester-united-slo-tilbake-ubeseiret-etter-solskjaer-sparkingen,2022-01-02
28,Lukaku kritiserer Tuchel-taktikk: − Jeg er ikke fornøyd med situasjonen,https://vg.no/sport/fotball/i/Qy3e88/lukaku-kritiserer-tuchel-taktikk-jeg-er-ikke-fornoeyd-med-situasjonen,2022-01-02
29,Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-02
30,Iversen tror han reiser hjem etter fiasko: − Tragisk,https://vg.no/sport/fotball/i/EaLP4o/iversen-tror-han-reiser-hjem-etter-fiasko-tragisk,2022-01-02
31,Tuchel vil gjeninnføre fem bytter: − Det gir absolutt ingen mening,https://vg.no/sport/fotball/i/V9eJ9V/tuchel-vil-gjeninnfoere-fem-bytter-det-gir-absolutt-ingen-mening,2022-01-02
32,Thomas Lehne Olsen forlater Lillestrøm – klar for Dubai,https://vg.no/sport/fotball/i/japE40/thomas-lehne-olsen-forlater-lillestroem-klar-for-dubai,2022-01-02
33,Fjørtoft var lagkamerat med Hugo Maradona: − Veldig trist at han er død,https://vg.no/sport/fotball/i/qW7g8g/fjoertoft-var-lagkamerat-med-hugo-maradona-veldig-trist-at-han-er-doed,2022-01-02
34,Neville kritiserer United-stjernenes kroppsspråk: − Irritert meg i to måneder,https://vg.no/sport/fotball/i/XqeQEn/neville-kritiserer-united-stjernenes-kroppsspraak-irritert-meg-i-to-maaneder,2022-01-02
35,Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-02
36,Buffon om Ronaldo-effekten: − Mistet samholdet,https://vg.no/sport/fotball/i/k6yzbX/buffon-om-ronaldo-effekten-mistet-samholdet,2022-01-02
37,Suverene City vant igjen – slo Leicester i ellevill målfest,https://vg.no/sport/fotball/i/z7Qy71/suverene-city-vant-igjen-slo-leicester-i-ellevill-maalfest,2022-01-02
38,Slik går det med lagene som leder 2. juledag: Halvparten tar ligagull,https://vg.no/sport/fotball/i/47Xg0E/slik-gaar-det-med-lagene-som-leder-2-juledag-halvparten-tar-ligagull,2022-01-02
39,"Den elleville Boxing Day, anno 1963",https://vg.no/sport/fotball/i/5GORP6/den-elleville-boxing-day-anno-1963,2022-01-02
40,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-01-02
41,Dette er mannen som vil kjøpe Manchester United,https://vg.no/sport/fotball/i/zE4J91/sir-jim-ratcliffe-dette-er-mannen-som-vil-kjoepe-manchester-united?utm_content=evergreens-widget-2&utm_source=fotball,2022-01-02
42,Skrev seg til proffkarriere – nå er Dan Eggen filosof,https://vg.no/sport/fotball/i/pQnpWj/skrev-seg-til-proffkarriere-naa-er-dan-eggen-filosof?utm_content=evergreens-widget-3&utm_source=fotball,2022-01-02
43,2–2 mellom Chelsea og Liverpool: − Et resultat ingen av dem kan leve med,https://vg.no/sport/fotball/i/oW8Xva/22-mellom-chelsea-og-liverpool-et-resultat-ingen-av-dem-kan-leve-med,2022-01-03
44,Sjokktap for Real Madrid,https://vg.no/sport/fotball/i/34Xv19/sjokktap-for-real-madrid,2022-01-03
45,Tallene som bør bekymre Klopp: − City er nødt til å ha en skikkelig formdupp,https://vg.no/sport/fotball/i/28X6Xv/tallene-som-boer-bekymre-klopp-city-er-noedt-til-aa-ha-en-skikkelig-formdupp,2022-01-03
46,Tottenham vant etter overtidsscoring – ubeseiret i ligaen under Antonio Conte,https://vg.no/sport/fotball/i/RrlLxJ/tottenham-vant-etter-overtidsscoring-ubeseiret-i-ligaen-under-antonio-conte,2022-01-03
47,"VAR-straffe, rødt kort og overtidsmål da City slo Arsenal",https://vg.no/sport/fotball/i/k6yk7L/var-straffe-roedt-kort-og-overtidsmaal-da-city-slo-arsenal,2022-01-03
48,Lukaku: Sa nei til Manchester City,https://vg.no/sport/fotball/i/z7QqJ9/lukaku-sa-nei-til-manchester-city,2022-01-03
49,Fantasy Premier League Gameweek 21: Her er de heteste dobbeltrunde-spillerne,https://vg.no/sport/fotball/i/RrlVLd/fantasy-premier-league-gameweek-21-her-er-de-heteste-dobbeltrunde-spillerne,2022-01-03
50,Ekspertenes dom over Eliteserien 2021,https://vg.no/sport/fotball/i/28XymR/ekspertenes-dom-over-eliteserien-2021,2022-01-03
51,Haaland-ryktene intensiveres: − Bare Erling som bestemmer,https://vg.no/sport/fotball/i/pW4k3R/haaland-ryktene-intensiveres-bare-erling-som-bestemmer,2022-01-03
52,Tuchel slår tilbake etter Lukaku-utspill: − Liker det ikke ,https://vg.no/sport/fotball/i/1OXLOe/tuchel-slaar-tilbake-etter-lukaku-utspill-liker-det-ikke,2022-01-03
53,Manchester United slo tilbake – ubeseiret etter Solskjær-sparkingen,https://vg.no/sport/fotball/i/pW4yOo/manchester-united-slo-tilbake-ubeseiret-etter-solskjaer-sparkingen,2022-01-03
54,Lukaku kritiserer Tuchel-taktikk: − Jeg er ikke fornøyd med situasjonen,https://vg.no/sport/fotball/i/Qy3e88/lukaku-kritiserer-tuchel-taktikk-jeg-er-ikke-fornoeyd-med-situasjonen,2022-01-03
55,Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-03
56,Iversen tror han reiser hjem etter fiasko: − Tragisk,https://vg.no/sport/fotball/i/EaLP4o/iversen-tror-han-reiser-hjem-etter-fiasko-tragisk,2022-01-03
57,Tuchel vil gjeninnføre fem bytter: − Det gir absolutt ingen mening,https://vg.no/sport/fotball/i/V9eJ9V/tuchel-vil-gjeninnfoere-fem-bytter-det-gir-absolutt-ingen-mening,2022-01-03
58,Thomas Lehne Olsen forlater Lillestrøm – klar for Dubai,https://vg.no/sport/fotball/i/japE40/thomas-lehne-olsen-forlater-lillestroem-klar-for-dubai,2022-01-03
59,Fjørtoft var lagkamerat med Hugo Maradona: − Veldig trist at han er død,https://vg.no/sport/fotball/i/qW7g8g/fjoertoft-var-lagkamerat-med-hugo-maradona-veldig-trist-at-han-er-doed,2022-01-03
60,Neville kritiserer United-stjernenes kroppsspråk: − Irritert meg i to måneder,https://vg.no/sport/fotball/i/XqeQEn/neville-kritiserer-united-stjernenes-kroppsspraak-irritert-meg-i-to-maaneder,2022-01-03
61,Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-03
62,Buffon om Ronaldo-effekten: − Mistet samholdet,https://vg.no/sport/fotball/i/k6yzbX/buffon-om-ronaldo-effekten-mistet-samholdet,2022-01-03
63,Suverene City vant igjen – slo Leicester i ellevill målfest,https://vg.no/sport/fotball/i/z7Qy71/suverene-city-vant-igjen-slo-leicester-i-ellevill-maalfest,2022-01-03
64,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-01-03
65,Dette er mannen som vil kjøpe Manchester United,https://vg.no/sport/fotball/i/zE4J91/sir-jim-ratcliffe-dette-er-mannen-som-vil-kjoepe-manchester-united?utm_content=evergreens-widget-2&utm_source=fotball,2022-01-03
66,Skrev seg til proffkarriere – nå er Dan Eggen filosof,https://vg.no/sport/fotball/i/pQnpWj/skrev-seg-til-proffkarriere-naa-er-dan-eggen-filosof?utm_content=evergreens-widget-3&utm_source=fotball,2022-01-03
67,United tapte for første gang etter Solskjærs exit: − Vi er veldig skuffet,https://vg.no/sport/fotball/i/ALQ6nx/united-tapte-for-foerste-gang-etter-solskjaers-exit-vi-er-veldig-skuffet,2022-01-04
68,Nattestad etter sin kansellerte Jerv-overgang: − Latterligste jeg har opplevd i mitt liv,https://vg.no/sport/fotball/i/Kzed2o/nattestad-etter-sin-kansellerte-jerv-overgang-latterligste-jeg-har-opplevd-i-mitt-liv,2022-01-04
