text,heading,href,date,article_index,tag
Fantasy Premier League Gameweek 21: Her er de heteste dobbeltrunde-spillerne,Fantasy Premier League Gameweek 21: Her er de heteste dobbeltrunde-spillerne,https://vg.no/sport/fotball/i/RrlVLd/fantasy-premier-league-gameweek-21-her-er-de-heteste-dobbeltrunde-spillerne,2022-01-01,0.0,h1
Premier League valgte å offentliggjøre tre flyttede kamper på nyttårsaften. Har du panikk? Da bør du lese dette.,Fantasy Premier League Gameweek 21: Her er de heteste dobbeltrunde-spillerne,https://vg.no/sport/fotball/i/RrlVLd/fantasy-premier-league-gameweek-21-her-er-de-heteste-dobbeltrunde-spillerne,2022-01-01,0.0,p
De tre kampene som har fått ny dato er disse tre:,Fantasy Premier League Gameweek 21: Her er de heteste dobbeltrunde-spillerne,https://vg.no/sport/fotball/i/RrlVLd/fantasy-premier-league-gameweek-21-her-er-de-heteste-dobbeltrunde-spillerne,2022-01-01,0.0,p
Ekspertenes dom over Eliteserien 2021,Ekspertenes dom over Eliteserien 2021,https://vg.no/sport/fotball/i/28XymR/ekspertenes-dom-over-eliteserien-2021,2022-01-01,1.0,h1
Dette synes ekspertene var de største overraskelsene og de største skuffelsene i Eliteserien 2021. De deler også sine tanker om de viktigste spillerne og om nivået på dommerne i sesongen som var.,Ekspertenes dom over Eliteserien 2021,https://vg.no/sport/fotball/i/28XymR/ekspertenes-dom-over-eliteserien-2021,2022-01-01,1.0,p
Haaland-ryktene intensiveres: − Bare Erling som bestemmer,Haaland-ryktene intensiveres: − Bare Erling som bestemmer,https://vg.no/sport/fotball/i/pW4k3R/haaland-ryktene-intensiveres-bare-erling-som-bestemmer,2022-01-01,2.0,h1
Spanske medier tapetserer flatene med rykter rundt Erling Braut Haaland. Viaplays Bundesliga-ekspert sier Dortmund har satt en deadline.,Haaland-ryktene intensiveres: − Bare Erling som bestemmer,https://vg.no/sport/fotball/i/pW4k3R/haaland-ryktene-intensiveres-bare-erling-som-bestemmer,2022-01-01,2.0,p
– Dortmund har sagt at de ønsker å få avklart dette innen februar og at de ønsker å forhandle en ny kontrakt – med veldig mye penger for at han skal bli.,Haaland-ryktene intensiveres: − Bare Erling som bestemmer,https://vg.no/sport/fotball/i/pW4k3R/haaland-ryktene-intensiveres-bare-erling-som-bestemmer,2022-01-01,2.0,p
Tuchel slår tilbake etter Lukaku-utspill: − Liker det ikke ,Tuchel slår tilbake etter Lukaku-utspill: − Liker det ikke ,https://vg.no/sport/fotball/i/1OXLOe/tuchel-slaar-tilbake-etter-lukaku-utspill-liker-det-ikke,2022-01-01,3.0,h1
"Romelu Lukaku har uttalt at han er misfornøyd med sin egen situasjon i Chelsea, og går langt i å kritisere Thomas Tuchel. Nå svarer manageren med samme mynt.",Tuchel slår tilbake etter Lukaku-utspill: − Liker det ikke ,https://vg.no/sport/fotball/i/1OXLOe/tuchel-slaar-tilbake-etter-lukaku-utspill-liker-det-ikke,2022-01-01,3.0,p
"– La oss være ærlige. Jeg liker det ikke, for det skaper støy som vi ikke trenger.",Tuchel slår tilbake etter Lukaku-utspill: − Liker det ikke ,https://vg.no/sport/fotball/i/1OXLOe/tuchel-slaar-tilbake-etter-lukaku-utspill-liker-det-ikke,2022-01-01,3.0,p
Manchester United slo tilbake – ubeseiret etter Solskjær-sparkingen,Manchester United slo tilbake – ubeseiret etter Solskjær-sparkingen,https://vg.no/sport/fotball/i/pW4yOo/manchester-united-slo-tilbake-ubeseiret-etter-solskjaer-sparkingen,2022-01-01,4.0,h1
"(Manchester United – Burnley 3–1) Ralf Rangnick (63) kalte uavgjort mot Newcastle for «en negativ overraskelse». Torsdag kveld hadde rødtrøyene igjen grunn til å smile, selv om ikke alle lar seg imponere.",Manchester United slo tilbake – ubeseiret etter Solskjær-sparkingen,https://vg.no/sport/fotball/i/pW4yOo/manchester-united-slo-tilbake-ubeseiret-etter-solskjaer-sparkingen,2022-01-01,4.0,p
Manchester Uniteds tyske manager gjorde hele seks endringer og fikk godt betalt for det grepet.,Manchester United slo tilbake – ubeseiret etter Solskjær-sparkingen,https://vg.no/sport/fotball/i/pW4yOo/manchester-united-slo-tilbake-ubeseiret-etter-solskjaer-sparkingen,2022-01-01,4.0,p
Lukaku kritiserer Tuchel-taktikk: − Jeg er ikke fornøyd med situasjonen,Lukaku kritiserer Tuchel-taktikk: − Jeg er ikke fornøyd med situasjonen,https://vg.no/sport/fotball/i/Qy3e88/lukaku-kritiserer-tuchel-taktikk-jeg-er-ikke-fornoeyd-med-situasjonen,2022-01-01,5.0,h1
"Romelu Lukaku (28) ble tidenes dyreste Chelsea-spiller da han returnerte til London i sommer, men siden den gang har det ikke gått på skinner for belgieren.",Lukaku kritiserer Tuchel-taktikk: − Jeg er ikke fornøyd med situasjonen,https://vg.no/sport/fotball/i/Qy3e88/lukaku-kritiserer-tuchel-taktikk-jeg-er-ikke-fornoeyd-med-situasjonen,2022-01-01,5.0,p
"– Fysisk har jeg det bra, men jeg er ikke fornøyd med situasjonen i Chelsea, sier Romelu Lukaku i et intervju med italienske Sky Sports.",Lukaku kritiserer Tuchel-taktikk: − Jeg er ikke fornøyd med situasjonen,https://vg.no/sport/fotball/i/Qy3e88/lukaku-kritiserer-tuchel-taktikk-jeg-er-ikke-fornoeyd-med-situasjonen,2022-01-01,5.0,p
Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,h1
Manchester United har fått mye kritikk etter å karet seg til 1–1 mot tabelljumbo Newcastle. Og sjefen innrømmer at det ikke var bra nok.,Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
Her er torsdagens oddstips!,Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
"– Selvsagt ikke. Alle ambisiøse trenere, og det er ingen forskjell på andre trenere og meg selv når det gjelder det, ønsker å ta raskere og større steg i riktig retning, sier Manchester United-manager Ralf Rangnick på pressekonferansen før møtet med Burnley.",Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
Det er en måned siden tyskeren ble offentliggjort som Manchester Uniteds manager ut sesongen etter at Ole Gunnar Solskjær fikk sparken tidligere i år.,Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
"Han ledet United til 1–0-seirer mot Crystal Palace og Norwich, men mot Newcastle endte det 1–1 etter en skuffende prestasjon.",Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
"– For å bli bedre er man nødt til å trene, og som dere vet måtte vi stenge Carrington i fire dager. Før det hadde vi åtte-ni utespillere på trening, sier Rangnick.",Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
"– De tre siste dagene var vi nesten tilbake til full styrke når det gjelder størrelsen på troppen, men vi kunne ikke gjøre så mye på trening. På den annen side så laget bra ut på de to-tre treningsøktene. Derfor var måten vi spilte på en negativ overraskelse, sier Rangnick.",Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
Manchester United-manageren nevner blant annet tempo og fysikk når han skal sette fingeren på hva han ikke var fornøyd.,Rangnick kaller Newcastle-nedturen «en negativ overraskelse»,https://vg.no/sport/fotball/i/L5ebq9/rangnick-kaller-newcastle-nedturen-en-negativ-overraskelse,2022-01-01,6.0,p
